sentence,theme,confidence,report_year,source_file
Conservation of Water Bodies 145 6.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Plan Coordination and Budget 285 Annexures 288 ROLE AND MANDATE OF THE MINISTRY 06 MoEF Annual Report 2008-2009 Role and Mandate of the Ministry Role of the Ministry The primary concerns of the Ministry of Environment & Forests under the Government structure are implementation of policies and programmes relating to conservation of the country's natural resources including lakes and rivers, its biodiversity, forests and wildlife, ensuring the welfare of animals and prevention and abatement of pollution.",biodiversity,0.8,2008-09,moefcc_2008_09.pdf
"Survey and Exploration of Natural Resources particularly of Forest, Flora, Fauna, Ecosystems etc.   Bio-diversity Conservation including that of lakes and wetlands.",biodiversity,1.0,2008-09,moefcc_2008_09.pdf
"Conservation, development, management and abatement of pollution of rivers which shall include National River Conservation Directorate.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
All matters relating to Forest and Forest Administration in the Andaman and Nicobar Islands.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
Fundamental and applied research and training including higher education in forestry.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
Andaman and Nicobar Islands Forest and Plantation Development Corporation Limited.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The Water Prevention and Control of Pollution Act, 1974 (6 of 1974).",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
The Water (Prevention and Control of Pollution),water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Field tours and Herbarium consultation tours Sixty-five field tours were undertaken for floristic/ethnobotanical and other studies of higher and lower groups of plants by different circle offices and units of BSI covering Activities undertaken during the year Botanical Exploration and Inventorisation of Phytodiversity Annual Report 2008-09 Chapter 1 11 Arunachal Pradesh (West Siang, Kurung Kume, Papumpare districts & Dihang Dibang Biosphere Reserve), Assam (Chukrasila Wildlife Sanctuary), Manipur, Mizoram, Sikkim (West and South), Uttar Pradesh (Bakhira Birds Sanctuary), Madhya Pradesh, Uttrakhand (Chamoli district), Gujarat (Bhavnagar & Rajkot districts), Karnataka (Mookambika Wildlife Sanctuary), Tamil Nadu (Satyamangalam Forests & Mukkurthi National Park), Andaman & Nicobar Islands (Ferrargunj & Madhuvan forests areas and Little Nicobar), Jharkhand (Dalma Wildlife Sanctuary), West Bengal (Gorumara National Park, Mahananda, Senchal, Narendrapur & Ballavpur Wildlife Sanctuaries).",biodiversity,1.0,2008-09,moefcc_2008_09.pdf
"Three thousand two hundred of these collected specimens belonging to ca nine hundred thirty five species were identified by scientists of different circles and units for State Flora of Uttarakhand (Volume I), Gujarat (Volume II), Manipur (Volume II), Mizoram (Volume III), Arunachal Pradesh (Volume II), Kerala (Volume III); Protected Areas of Tamil Nadu (Mukkhurti National Park), West Bengal (Narendrapur Wildlife Sanctuary, Gorumara National Park, Senchal Wildlife Sanctuary, Mahananda Wildlife Sanctuary), Jharkhand (Dalma Wildlife Sanctuary), Arunachal Pradesh (Dehang Dibang Biosphere Reserve); Algal Flora of Tamil Nadu (East Coast), Madhya Pradesh (Govindsagar, Halili, Mod dam, Upper Lake); Bryoflora of Andaman & Nicobar Islands (South Andamans), Mizoram; Lichen Flora of Sikkim; Pteridophytic Flora of South Sikkim; Fungal (Mushrooms) flora of Sikkim (West District); underexplored areas of Tamil Nadu (Sathyamangalam forests, Vellingiri, Siruvani and Annaikatti hills) Fig-1.",biodiversity,1.0,2008-09,moefcc_2008_09.pdf
"The Flora of Dampa Tiger Reserve, Mizoram was completed.",biodiversity,0.4,2008-09,moefcc_2008_09.pdf
"ZSI conducted one hundred sixteen extensive surveys and fourteen local surveys in twenty two States and UTs, viz., Andaman & Nicobar, Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chhattisgarh, Goa, Gujarat, Haryana, Himachal Pradesh, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Orissa, Rajasthan, Tamil Nadu, Uttar Pradesh, Uttarakhand, & West Bengal.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Arnebia euchroma - a critically endangered plant found in cold desert of Himachal Pradesh 19   Three Himalayan Ecosystems, four Estuarine Ecosystems, five Coastal Ecosystems and nine Wetland Ecosystems were surveyed.",biodiversity,0.4,2008-09,moefcc_2008_09.pdf
